Book_No	Title	Sub_Title	Author	Publisher	Year_This_Ed	ISBN	Subject	Topic	Class_1	Class_2	Class_3	new c1	new c2	newc3	Translator	Year_1st_Pub	Synopsis	Medium
12903	Cycling		"Alderson, Frederick"	Futura Publications	1977	0 7088 0986 3	The Arts	Recreational and Performing Arts	790	ALD		796	ALD					
	Portrait of a Genius - But...	The Life of D. H. Lawrence - 1885 to 1930	"Aldington,  Richard"	William Heinmann Ltd	1950							921	LAW	ALD				
	"Religion of Beauty, The"	Selections from the Aesthetes	"Aldington,  Richard"	"Heinemann, William Ltd"	1950							820	ALD					
16088	Soft Answers		"Aldington, Richard"	William Heinemann Ltd	1934				823	ALD		823	ALD					
15324	D. H. Lawrence : An Appreciation		"Aldington, Richard"	Penguin					824	LAW		820.9	ALD					
13496	Lawrence of Arabia	A biographical enquiry	"Aldington, Richard"	Collins	1955				920	LAW		921	LAW	ALD				
13384	Life For Life's Sake	A Book of Reminiscences	"Aldington, Richard"	Cassell - London	1968	304932558	928	ALDINGTON - RICHARD	ALDI	ALD		921	ALD	ALD				
13220	"Portrait of a Genius, But..."	The Life of D. H. Lawrence - 1885 to 1930	"Aldington, Richard"	Readers Union	1951		Biography	D. H. Lawrence	LAW	ALD		921	LAW	ALD				
	"Colonel's Daughter, The"		"Aldington, Richard"	Hogarth Presss	1986	0-7012-0601-2						823	ALD					
13273	Six World Religions		"Aletrino, L"	SCM Press Ltd	1967	334015324	Religions	General Religions	200	ALE		290	ALE					
10241	"Short History of Philosophy, A"		"Alexander, Archibald B D"	James Maclehose and Sons - Glasgow	1907		Philosophy	Philosophy - History	109	ALE		109	ALE					
10534	Man's Supreme Inheritance		"Alexander, F Matthias"	Integral Press - Kent	1957		Technology	Medical Sciences	610	ALE		131	ALE					
13528	"Earliest English Poems, the"		"Alexander, Michael"	Penguin	1966				821	PEN		821.08	ALE					
15903	"Earliest English Poems, The"		"Alexander, Michael (Ed)"	Penguin	1966				821	ALE		821.08	ALE					
12436	Roy Campbell	A Critical Biography	"Alexander, Peter"	Oxford University Press	1982	0 19 211750 5	Biography	Roy Campbell	CAM	Ale		921	CAM	ALE				
16431	Alfarabi Philosophy of  Plato and Aristotle	Translated by Muhsin Mahdi	Alfarabi	Cornell University	1969				184	ALF		181	ALF					
11536	"Mysteries of Purity, The"		"Al-Ghazali, Imam "	Sh. Muhammad Ashraf - Pakistan	1980		Religion	Other Religions - Islam & Bahaism	297	AL-		297	ALG					
