Book_No,Title,Sub_Title,Author,Publisher,Year_This_Ed,ISBN,Subject,Topic,Class_1,Class_2,Class_3,Translator,Year_1st_Pub,Synopsis,Medium
14631,DON QUIXOTE,Thw Ormsby translation - revised,Cervantes - Miguel de,W. W. Norton & Co,1981,0-393-09018-3,,,863,CER,,,,,
11686,EARLY CHURCH ~ THE,,CHADWICK - HENRY,Penguin Books,1977,0 1402 0502 0,Religion,Christian Churches & Sects - Primitive & Oriental Churches,218.1,CHA,,,,,
12702,DECIPHERMENT OF LINEAR B ~ THE,,CHADWICK - JOHN,Cambridge University Press,1958,,Geography & History,History of Ancient World - Greece,938,CHA,,,,,
11961,CELTS ~ THE,,CHADWICK - NORA,Penguin Books,1971,14 021211 6,History,Europe - Scotland & Ireland,941,CHA,,,,,
11707,REFORMATION ~ THE,,CHADWICK - OWEN,Penguin Books,1964,,Religion,Christian Church History,217,CHA,,,,,
14390,SYMBOLISM,,Chadwick - Charles,Methuen & Co,1971,0 416 60910 4,,,808,CHA,,,,,
15274,AUGUSTINE,,Chadwick - Henry,Oxford University Press,1986,0-19-287534-5,,,230,AUG,,,,,
11015,TAGORE READER ~ A,,CHAKRAVARTY - AMIYA,Beacon Press - Boston,1966,0-8070-5971-4,Literature,Other Literatures - Other Indo-European,891,CHA,,,,,
11031,BANARAS,A Tourist Handbook,CHAKRAVORTY - D. M.,Orient Publishers - Varanasi,1964,,History,Geography - Travels - Geography of Asia,915,CHA,,,,,
11952,SCRAMBLE FOR AFRICA ~ THE,,CHAMBERLAIN - M. E.,Longman - London,1977,0 582 35204 5,History,Africa,960,CHA,,,,,
15277,THE SAYINGS OF QUEEN ELIZABETH,,Chamberlin - Frederick,The Bodley Head,1923,,,,942,ELI,,,,,
13137,CHAMBERS BIOGRAPHICAL DICTIONARY,Volume One Aagesen - Jewel,CHAMBERS,W & R Chambers Ltd,1974,0 550 18002 8,Biography,Dictionary,DIC,CHA,,,,,
13138,CHAMBERS BIOGRAPHICAL DICTIONARY,Volume Two Jewett - Zworykin,CHAMBERS,W & R Chambers Ltd,1974,0 550 18003 6,Biography,Dictionary,DIC,CHA,,,,,
13219,D.H. LAWRENCE,A Personal Record,CHAMBERS - JESSIE,Cambridge University Press,1980,0 521 29919 5,Biography,D. H. Lawrence,LAW,CHA,,,,,
11251,DIVINE PYMANDER AND OTHER WRITINGS OF HERMES TRISMEGISTUS,,CHAMBERS - JOHN D. (TRANS),Samuel Weiser - New York,1975,0-87728-193-9,Religion,Other Religions - Greek & Roman,220,CHA,,,,,
11857,BIG SLEEP ~ THE,,CHANDLER - RAYMOND,Pan Books Ltd. - London,1979,0 330 25836 2,Literature,American Literature - American Fiction,813,CHA,,,,,
14804,THE RAPE OF NANKING,The Forgotten Holocaust of World War II,Chang - Iris,BasicBooks,1997,0-465-06835-9,,,895.1,CHA,,,,,
10849,INDIAN MOSAIC,,CHANNING - MARK,George G. Harrap & Co. Ltd. - London,1936,,History,Geography - Travels - Geography of Asia,915,CHA,,,,,
12420,My Autobiography,,Chaplin - Charles,The Bodley Head,1966,,Autobiography,Chales Chaplin,CHA,Cha,,,,,
12653,RIGHT SIDE OF THE HEDGE ~ THE,Country Life Today,CHAPMAN - CHRIS,David  Charles,1977,0 7153 7342 0,Geography & History,Geography & Travel - Europe,914,CHA,,,,,
12741,WORKS OF GEORGE CHAPMAN ~ THE,Minor poems and Translations,CHAPMAN - GEORGE,Chatto & Windus,1875,,Literature,English Literature - English Poetry,821,CHA,,,,,
11788,HOMER'S ILIAD,,CHAPMAN - GEORGE (TRANS),George Routledge and Sons - London,1884,,Literature,Greek Literature - Epic Poetry,883,CHA,,,,,
11734,WHOLE WORKS OF HOMER: PRINCE OF POETS ~ THE,In his Iliads and Odysseys,CHAPMAN - GEORGE (TRANS),Chatto and Windus - London,1875,,Literature,Greek Literature - Epic Poetry,883,CHA,,,,,
11735,WHOLE WORKS OF HOMER: PRINCE OF POETS ~ THE,In his Iliads and Odysseys,CHAPMAN - GEORGE (TRANS),Chatto and Windus - London,1885,,Literature,Greek Literature - Epic Poetry,883,CHA,,,,,
11996,LAST TUDOR KING ~ THE,,CHAPMAN - HESTER W.,Jonathan Cape - London,1961,,History,Europe - England,942,CHA,,,,,
14893,HOW TO CHOOSE A GURU,The A-Z Guide to Telling the Real from the False,Chapman - Rick,Eel Pie Publishing,1980,0-96008-19-0,,,298,CHA,,,,,
10279,APPEARANCE OF MAN ~ THE,,CHARDIN - PIERRE TEILHARD DE,William Collins Sons & Co. Ltd. - London,1965,,Pure Science,Anthropology & Biology - Organic Evolution,575,CHA,,,,,
10288,LETTERS FROM A TRAVELLER,,CHARDIN - PIERRE TEILHARD DE,Wm. Collins Sons & Co. Ltd. - London,1962,,Literature,French Literature - French Letters,846,CHA,,,,,
10313,MILIEU DIVIN ~ LE,An Essay on the Interior Life,CHARDIN - PIERRE TEILHARD DE,William Collins Sons & Co. Ltd. - London,1961,,Religion,Religion - Philosophy & Theories,201,CHA,,,,,
10287,PHENOMENON OF MAN ~ THE,,CHARDIN - PIERRE TEILHARD DE,Wm. Collins Sons & Co. Ltd. - London,1961,,Pure Science,Anthropology & Biology - Anthropology,572,CHA,,,,,
10293,HYMN OF THE UNIVERSE,,CHARDIN - TEILHARD DE,William Collins Sons & Co. Ltd. - London,1966,,Religion,Religion - Philosophy & Theories,201,CHA,,,,,
13011,LE MILIEU DIVIN,An Essay on the Interior Life,CHARDIN - TEILHARD DE,Fontana/Collins,1964,,Religion,Natural Theology - Humankind,211.8,CHA,,,,,
13482,LETTERS FROM A TRAVELLER,,Chardin - Pierre Teilhard de,Collins / Fontana,1969,,,,846,CHA,,,,,
11179,BOOK OF ENOCH ~ THE,,CHARLES - R. H. (TRANS),SPCK - London,1982,0 281 01261 X,Religion,Bible - Apocrypha & Deuterocanonical,212.9,CHA,,,,,
12350,Kerouac,A Biography,Charters - Ann,Picador,1980,0 330 25390 5,Biography,Jack Kerouac,KER,Cha,,,,,
13745,THE POEMS OF THOMAS CHATTERTON VOL. II,with a biographical introduction - notes - glossary and bibliography by Henry D. Roberts,Chatterton - Thomas,George Routledge & Sons Ltd,1906,,,,821,CHA,,,,,
16304,THE WORKS OF THOMAS CHATTERTON VOLUME I,containg his life by G. Gergory - D.D. and miscellaneous poems,Chatterton - Thomas,T. N. Longman & O. Rees,1803,REFERENCE,,,828,CHA,,,,,
16305,THE WORKS OF THOMAS CHATTERTON VOLUME II,Containing the poems attributed to Rowley,Chatterton - Thomas,T.N.Longman and O. Rees,1803,REFERENCE,,,828,CHA,,,,,
16306,THE WORKS OF THOMAS CHATTERTON VOLUME III,containing miscellaneous pieces in prose,Chatterton - Thomas,T. N. Longman and O. Rees,1803,REFERENCE,,,828,CHA,,,,,
11034,ACHAEMENIDS AND INDIA ~ THE,,CHATTOPADHYAYA - SUDHAKAR,Munshiram Manoharlal - New Delhi,1974,,History,Asia - Subcontinent of India,954,CHA,,,,,
12161,TROILUS AND CRISEYDE,,CHAUCER - GEOFFREY,J. M. Dent & Sons Ltd. - London,1977,0 460 11992 3,Literature,English Literature - English Poetry,821,CHA,,,,,
10332,EVOLUTION OF INTEGRAL CONSCIOUSNESS ~ THE,,CHAUDHURI - HARIDAS,The Theosophical Publishing House - Illinois - USA,1977,0-8356-0494-2,Philosophy,Metaphysical Theories - Consciousness & Personality,126,CHA,,,,,
13202,SCHOLAR EXTRAORDINARY,The Life of Professor the Rt. Hon. Friedrich Max Muller P.C.,CHAUDHURI - NIRAD C.,Chatto & Windus,1974,0 7011 1944 6,Biography,Friedrich Max Muller,MUL,CHA,,,,,
16351,THE AUTOBIOGRAPHY OF AN UNKNOWN INDIAN,,Chaudhuri - Nirad C.,Viking / Jaico Publishing,1997,,,,920,CHA,,,,,
14448,THREE HORSEMEN OF THE NEW APOCOLYPSE,,Chaudhuri - Nirad C.,Oxford University Press,1997,0 19 564189 2,,,901,CHA,,,,,
14994,THE COLUMBIA BOOK OF LATER CHINESE POETRY,Yuan - Ming - aned Ch'ing Dynastics (1279 - 1911),Chaves - Jonathan (trans.),Columbia University Press,1986,0-231-06148-X,,,895.1,CHA,,,,,
11993,RISE OF INDUSTRIAL SOCIETY IN ENGLAND 1815-1885,,CHECKLAND - S. G.,Longmans - London,1966,,History,Europe - England,942,CHE,,,,,
10768,PROPHECIES OF NOSTRADAMUS ~ THE,,CHEETHAM - ERIKA,Neville Spearman - London,1974,85435 152 3,Philosophy,Branches of Psychology - Occult Sciences,133.3,CHE,,,,,
10725,YOU AND YOUR HAND,,CHEIRO,Sphere Books Ltd. - London,1974,0 7221 2263 2,Philosophy,Branches of Psychology - Occult Sciences,133.6,CHE,,,,,
12584,ISLAND ~ THE,A Journey to Sakhalin,CHEKHOV - ANTON,Century Publishing Co,1987,0 7126 1581 4,Geography & History,Geography & Travel - Other,919,CHE,,,,,
14036,CHEKHOV PLAYS,Translated and with an introduction by Elisaveta Fen,Chekhov - Anton,Penguin,1954,,,,891.7,CHE,,,,,
14630,THE FIANCEE,and other stories,Chekhov - Anton,Penguin,1986,,,,891.7,CHE,,,,,
11290,CONFUCIAN WAY ~ THE,,CHEN - LI FU,KPI Ltd. - London,1986,0-7103-0250-9,Philosophy,Ancient & Medieval - Oriental Philosophy,181,CHE,,,,,
11308,CONFUCIAN WAY ~ THE,A New and Systematic Study of the 'Four Books',CHEN - LI FU,KPI - London,1986,07103-0171-5,Philosophy,Ancient & Medieval - Oriental Philosophy,181,CHE,,,,,
10595,CONCEPT OF MIND IN INDIAN PHILOSOPHY ~ THE,,CHENNAKESAVAN - SARASVATI,Asia Publishing House - Bombay,1960,,Religion,Other Religions - Brahmanism & Related,294,CHE,,,,,
13685,SHELLEY & ZASTROZZI,Self-revelation of a neurotic,Chesser - Eustace,Gregg Press Ltd,1965,,,,823,CHE,,,,,
